Precio,M2,Balcon2,Amenities,cocinaSep,Monoambiente,A Estrenar,Patio PB,PB,Precio_predicho,residuo,es_outlier,tipo_outlier
77500,45,1,0,1,0,0,0,0,86304.89,-8804.89,False,normal
89000,75,0,0,1,0,0,1,1,78454.96,10545.04,False,normal
72000,42,1,0,1,0,0,0,0,86211.37,-14211.37,False,normal
77000,38,1,0,1,0,0,0,0,86086.67,-9086.67,False,normal
69000,45,0,0,0,0,0,0,1,82393.14,-13393.14,False,normal
65000,31,0,0,0,0,0,0,0,75736.67,-10736.67,False,normal
118000,55,1,0,1,0,0,0,0,86616.65,31383.35,False,normal
89000,91,0,0,1,0,0,0,0,77706.07,11293.93,False,normal
125000,48,1,1,0,0,1,0,0,111952.54,13047.46,False,normal
72000,40,1,0,0,0,0,0,0,86050.14,-14050.14,False,normal
153000,77,1,1,0,0,1,0,1,119076.65,33923.35,False,normal
96000,63,1,0,0,0,0,0,0,86767.18,9232.82,False,normal
85000,51,1,0,0,0,0,0,0,86393.07,-1393.07,False,normal
95000,80,1,0,1,0,0,0,0,87396.03,7603.97,False,normal
68500,43,1,0,1,0,0,0,0,86242.54,-17742.54,False,normal
72000,33,0,0,1,0,0,0,0,75897.89,-3897.89,False,normal
62000,36,0,0,1,0,0,0,0,75991.42,-13991.42,False,normal
72000,37,1,0,0,0,0,0,0,85956.61,-13956.61,False,normal
75500,46,0,0,1,0,0,1,0,71330.85,4169.15,False,normal
105000,52,1,1,0,0,0,0,0,105755.24,-755.24,False,normal
160000,90,1,0,1,0,0,0,1,93927.81,66072.19,True,sobrevaluado
86000,47,1,1,1,0,0,1,0,100725.92,-14725.92,False,normal
170000,45,1,0,1,0,0,0,0,86304.89,83695.11,True,sobrevaluado
105000,81,1,0,0,0,0,0,1,93548.35,11451.65,False,normal
57000,44,0,0,0,0,0,0,0,76141.95,-19141.95,False,normal
95000,38,0,0,0,0,0,0,0,75954.9,19045.1,False,normal
84000,52,1,0,0,0,0,0,0,86424.25,-2424.25,False,normal
65000,29,1,0,1,0,0,0,0,85806.09,-20806.09,False,normal
79000,60,0,0,1,0,0,0,0,76739.63,2260.37,False,normal
90000,50,0,0,1,0,0,0,0,76427.88,13572.12,False,normal
85000,55,1,1,1,0,0,0,0,105947.64,-20947.64,False,normal
65000,51,0,0,0,0,0,0,0,76360.18,-11360.18,False,normal
62000,45,0,0,1,0,0,0,0,76272.0,-14272.0,False,normal
138000,100,1,1,1,0,0,0,1,113570.56,24429.44,False,normal
64000,48,0,0,1,0,0,0,0,76365.53,-12365.53,False,normal
65000,52,1,0,0,0,0,0,0,86424.25,-21424.25,False,normal
89000,42,1,0,1,0,0,0,0,86211.37,2788.63,False,normal
96200,60,1,1,0,0,0,0,0,106004.65,-9804.65,False,normal
170000,45,1,0,1,0,0,0,0,86304.89,83695.11,True,sobrevaluado
70000,40,0,0,0,0,0,1,0,71044.92,-1044.92,False,normal
89500,45,1,0,0,0,0,0,0,86206.02,3293.98,False,normal
115000,45,1,0,0,0,1,0,0,92528.02,22471.98,False,normal
77500,33,1,0,1,0,0,0,0,85930.79,-8430.79,False,normal
86000,47,1,1,1,0,0,1,0,100725.92,-14725.92,False,normal
79000,59,0,0,1,0,0,1,0,71736.13,7263.87,False,normal
77000,38,1,0,1,0,0,0,0,86086.67,-9086.67,False,normal
72000,42,1,0,1,0,0,0,0,86211.37,-14211.37,False,normal
85000,49,1,1,1,0,0,0,0,105760.59,-20760.59,False,normal
96000,63,1,0,0,0,0,0,0,86767.18,9232.82,False,normal
119956,43,0,1,0,0,0,0,0,95441.77,24514.23,False,normal
89000,48,1,0,1,0,0,0,0,86398.42,2601.58,False,normal
95000,80,1,0,1,0,0,0,0,87396.03,7603.97,False,normal
86000,90,0,0,1,0,0,0,0,77674.89,8325.11,False,normal
65000,52,1,0,0,0,0,0,0,86424.25,-21424.25,False,normal
73000,45,1,0,0,0,0,0,0,86206.02,-13206.02,False,normal
87000,40,0,0,1,0,0,0,0,76116.12,10883.88,False,normal
68000,30,0,0,0,0,0,0,0,75705.49,-7705.49,False,normal
112000,50,0,1,1,0,0,0,0,95758.87,16241.13,False,normal
65000,29,1,0,1,0,0,0,0,85806.09,-20806.09,False,normal
109000,42,1,0,0,0,1,0,0,92434.49,16565.51,False,normal
115520,41,1,0,0,0,0,0,0,86081.32,29438.68,False,normal
89000,55,0,0,1,0,0,1,1,77831.45,11168.55,False,normal
72000,33,0,0,1,0,0,0,0,75897.89,-3897.89,False,normal
69000,42,0,0,1,0,0,0,0,76178.47,-7178.47,False,normal
62000,36,0,0,1,0,0,0,0,75991.42,-13991.42,False,normal
68500,43,1,0,1,0,0,0,0,86242.54,-17742.54,False,normal
77500,41,1,1,1,0,0,0,0,105511.19,-28011.19,False,normal
82000,43,1,0,0,0,1,0,0,92465.67,-10465.67,False,normal
85000,51,1,0,0,0,0,0,0,86393.07,-1393.07,False,normal
78000,43,1,0,0,1,0,0,0,78000.0,0.0,False,normal
73000,40,1,0,0,0,0,0,0,86050.14,-13050.14,False,normal
64000,48,0,0,1,0,0,0,0,76365.53,-12365.53,False,normal
105000,81,1,0,0,0,0,0,1,93548.35,11451.65,False,normal
112000,52,1,1,0,0,1,0,0,112077.24,-77.24,False,normal
88000,67,0,1,0,0,0,1,0,91217.66,-3217.66,False,normal
89000,75,0,0,1,0,0,1,1,78454.96,10545.04,False,normal
77500,45,1,0,1,0,0,0,0,86304.89,-8804.89,False,normal
88000,53,1,0,0,0,0,0,0,86455.42,1544.58,False,normal
118000,55,1,0,1,0,0,0,0,86616.65,31383.35,False,normal
72000,39,1,0,0,0,0,0,0,86018.97,-14018.97,False,normal
